,Train_Mask_Rate = 0.05,Train_Mask_Rate = 0.10,Train_Mask_Rate = 0.15,Train_Mask_Rate = 0.20,Train_Mask_Rate = 0.25,Train_Mask_Rate = 0.30,Train_Mask_Rate = 0.35,Train_Mask_Rate = 0.40,Train_Mask_Rate = 0.45
Mask 0.00,1.0,1.0,1.0,0.999989627847156,1.0,1.0,0.9999343096986544,0.9999827130785932,1.0
Mask 0.05,0.9560773900897537,0.9558042567315272,0.9565406795834543,0.9556106432117717,0.9558526601114661,0.9563608956008243,0.9549364532769088,0.9546771494558077,0.9568864180115891
Mask 0.10,0.9099143951651938,0.9094649352086186,0.9112524028820755,0.9086731942081898,0.9093024381473952,0.9106992213970598,0.9086593646710645,0.9086489925182204,0.911207456886418
Mask 0.15,0.8635059259566582,0.8629527444716425,0.8653383396257728,0.8624375942137217,0.8637583150091966,0.8647471269136622,0.8618256371959231,0.8623857334495014,0.8656218451368433
Mask 0.20,0.8173152719578476,0.8165062440360121,0.8194726797494087,0.8163230026691006,0.816793206931364,0.8188641801158916,0.8155485485900786,0.8157698211840849,0.8201192106100209
Mask 0.25,0.770291388347232,0.76951693426821,0.7732716535977541,0.7690294430845399,0.7706924449238683,0.7728394805625856,0.7696586870237453,0.7700701157532257,0.7742950393450331
Mask 0.30,0.7239555242086048,0.7241387655755162,0.7279660899749686,0.7225552835746587,0.7245847681478101,0.7276341810839592,0.7234058001078704,0.7246919470605319,0.7294942538273244
Mask 0.35,0.6784252306075316,0.6777130094455739,0.6826951001949965,0.6767483992310778,0.6781590120178678,0.6817374047490631,0.6775885436114453,0.6784183158389688,0.684240550968759
Mask 0.40,0.6314912389882311,0.6309691739617475,0.6360999322352681,0.6292508539739174,0.6311420431758149,0.6361759946894577,0.6308412507433376,0.6318646364906166,0.6385892489178387
Mask 0.45,0.5851864913081359,0.5849202727184721,0.5907321356954183,0.5834266827089297,0.5861061555269745,0.5901582099047145,0.5839314608140066,0.585753502330277,0.5929483190197624
Mask 0.50,0.5380727157062053,0.5369628953518926,0.5433002807396037,0.5353344673553776,0.5387883942524444,0.5426917811060864,0.5364996058581919,0.5381280338547069,0.5458310860335505
Mask 0.55,0.4914533460565075,0.49252167779944406,0.49827130785932594,0.4897453982215215,0.49281555546335865,0.49855135598611516,0.49203418661577397,0.49303337067308356,0.5023579360798794
Mask 0.60,0.4461788988922541,0.44534221189616785,0.4522189492317692,0.4428874690564107,0.4466110719274226,0.45047988493825114,0.4449204110138434,0.4469810120455268,0.45491570897122074
Mask 0.65,0.39958718831680706,0.39974622799374904,0.4062253661369954,0.3963130454023704,0.40047227869283214,0.40579665048610825,0.3993693731070821,0.40088025003803124,0.4095824862741844
Mask 0.70,0.3520481544482706,0.35301967943132945,0.3587381930326792,0.349876917119584,0.35350371323071816,0.35846851705873406,0.3527914920687605,0.3546757665020952,0.3629734887773306
Mask 0.75,0.3056535147768604,0.3056950033882366,0.31226403352279797,0.3026317609149622,0.3071159883278707,0.31185260479331756,0.30654551992144824,0.306721846519797,0.31597726424096584
Mask 0.80,0.26036178069120025,0.25837724211370644,0.2649981330124881,0.25640999045761936,0.2606729452765216,0.26409921309933754,0.25953546584795806,0.26058305328520653,0.26973820686221633
Mask 0.85,0.21311316710229708,0.21144325049440596,0.22000373397502385,0.20902653888174363,0.21278471559556902,0.21760776666804962,0.21298870126816855,0.21513919429116707,0.22416296726548562
Mask 0.90,0.1658576387448312,0.1657988632120483,0.17390642935180958,0.1614079851747362,0.1666182632867278,0.17059771259455947,0.1670435215533336,0.1671437856974927,0.17794465419242417
Mask 0.95,0.11996086240993514,0.1177723381598418,0.12790593148847307,0.11674549502828141,0.12081137894314677,0.1230552213417417,0.11961512398180033,0.12258501707947835,0.12937877719232738
